id,name,description,price,category,imageUrl
1,Wireless Mouse,Ergonomic wireless mouse with adjustable DPI,29.99,Electronics,https://m.media-amazon.com/images/I/51VpABY-b6L._AC_SL1500_.jpg
2,Running Shoes,Lightweight running shoes with excellent grip,59.99,Sports,https://m.media-amazon.com/images/I/71c5G65JvGL._AC_SY500_.jpg
3,Stainless Steel Water Bottle,500ml stainless steel water bottle with insulation,15.99,Home,https://m.media-amazon.com/images/I/71t8zZuv+aL._AC_SL1500_.jpg
4,LED Desk Lamp,Adjustable LED desk lamp with touch control,24.99,Furniture,https://m.media-amazon.com/images/I/51qkbYRxevL._AC_SL1500_.jpg
5,Bluetooth Headphones,Over-ear Bluetooth headphones with noise cancellation,89.99,Electronics,https://m.media-amazon.com/images/I/41lArSiD5hL._AC_SL1200_.jpg
6,Yoga Mat,Non-slip yoga mat with extra cushioning,25.99,Fitness,https://m.media-amazon.com/images/I/81+4+WD4U4L._AC_SL1500_.jpg
7,Coffee Maker,Programmable coffee maker with 12-cup capacity,49.99,Appliances,https://m.media-amazon.com/images/I/71VhwbKX5+L._AC_SL1500_.jpg
8,Electric Kettle,1.7L electric kettle with auto shut-off feature,19.99,Kitchen,https://m.media-amazon.com/images/I/71FcafxVweL._AC_SL1500_.jpg
9,Gaming Chair,Comfortable gaming chair with adjustable height,129.99,Furniture,https://m.media-amazon.com/images/I/61HEqHMkRhL._AC_SL1500_.jpg
10,Smart Watch,Water-resistant smart watch with heart rate monitor,99.99,Electronics,https://m.media-amazon.com/images/I/618nYLb6BDL._AC_SL1500_.jpg
